Title,Theme,Type,Media,Attribution,Tags,URL,Description,Image Rights,Unnamed: 9
Personal Documents,Assets,Document,Assets 1_John Rockwell Inventory,"Bristol Archives, Thomas Rockwell Inventory",looking; writing; Quality of Workmanship; owning; processing; death; householder; manuscript; paper; Bristol; home; administration,,"What sort of “asset” marks out somebody as middling, rather than being a wage labourer or dependent person. One answer lies in the administrative documents compiled after somebody’s death: in will (a schedule of where assets and goods should go and to whom) and “inventories” (a list of substantial goods owned by the deceased and their values).  Not all middling individuals would have had such documents compiled (and for many they may no longer survive), and the elite—including aristocratic men and women—also required such documents.  But the vast majority of those that survive for our period are testament to the “assets” of middling people.  The inventory shown here, for instance, records the material life of the Bristol sailor John Rockwell. The very existence of such an inventory implies that Rockwell had enough “things” in his life of value to warrant such a list being drawn up. These documents also show the variety of ways of marking “assets,” from “playing tables” like modern-day board games (LINK leisure) to debts owed by and to the deceased.  MORE
",Bristol Archives (have been flexible in the past),
House,Assets,House,Assets 2_Harvard House,Stratford Upon Avon,decoration; joining/carving; self-fashioning; quality of workmanship; acquiring; owning; householder; stratford-upon-avon; bricks; house; home; ,,"Early modern society was not divided between large royal palaces and small, dimly-lit hovels.  Many of the population lived in substantial houses that lie in between these two caricatured extremes.  While the size and nature of a house varied among the different levels of the middling, there is some typicality in the ability to work in the household—either at one’s craft (ie as a shoemaker or goldsmith) or at making household goods like bread, ale, and clothing—and often both together. Such houses can show us a lot about middling existence.  They offer room for servants, a key marker of solid to upper middling status, who show the size of a middling household and its various working operations.  Changes in household/great rebuilding. Outside beautification… ownership/rental.  Harvard House, shown here, … 

",Images freely available online/ Tara lives there,
Chair,Assets,Furniture,Assets 3_chair,Bonhams,gesture; decoration; joining/carving; sociability; self-fashioning; manufacturing; creating; quality of workmanship; acquiring; owning; Humphrey Beckham; Salisbury; Workshop; seating; furniture;  innovation,https://www.bonhams.com/auctions/23617/lot/7/?category=list&length=10&page=1,"While many of the poorer in society would sit in their dwellings on stools, one marker of middling comfort and display is the ownership of joined furniture, such as this EXAMPLE.  Labour involved. Craft and care involved. Visual differences. Longevity/inheritance. 
",Images freely available online/ there's an alternative at SBT,
Silver Spoon,Assets,Furniture,Assets 4_spoon,"© Woolley & Wallis, Salisbury, Wiltshire, (on marks4antiques.com",socialbility; self-fashioning; quality of workmanship; acquiring; owning; silver; tableware; home; innovation,"© Woolley & Wallis, Salisbury, Wiltshire, (on marks4antiques.com","Spoons were a widely owned item, circulated among middling individuals across colleagues, families, and friends.  Not only were they made by goldsmiths, a job very representative of a kind of middling status, they were acquired and shared for numerous economic, social, and personal reasons: as gifts for christenings (thereby carrying sentimental value), as “deposits” in economic transactions, and as fine display pieces. They were also sometimes carried on the person, as mobile effects demonstrating one’s worth and a ready offering of economic credit.  Such ownership transcends age and gender. The soapmakers of Bristol in the 1630s required deposits for price agreements (ie setting their prices fairly so as not to undercut each other); Leonard Hancock’s deposit was six silver spoons.  Such spoons appear regularly in inventories like those in LINK. NUMBER CRUNCHING.  These items were therefore a common sight in middling households and workplaces, but they also held social and personal value, making them an object that spans the various layers of middling existence in the period: individual, household, and institution.
","Again, unsure, but images available online",
Gardens,Assets,House,Assets 5_gardens,Reigate Survey 1627,gardening; outside; production; cultivation; home; acquiring,,"Gardens as land outside household showing mixed uses, including arable. Ability to grow and produce and self-sustain some things.  Sometimes rented out (ie Clovell). Show part of property rentier class… Touch on gardens as aesthetic things, an elite practice but one perhaps used by middling? (Evidence?)
",Archive image?? Callan! ,
Clothing,Assets,Painting,Assets 6_embellishments,British Library Add MS 28330. Lucas de Heere. Fo. 33r,clothing; decoration; performance; self-fashioning; manufacturing; quality of workmanship; aquiring; gender; embellishment; ,,"Gloves were a major symbol of status in early modern England. They were made by craftspeople known as “glovers” (an occupation held by Shakespeare’s father), who held a respectable place as the manufacturers of a sophisticated and sometimes luxury item [LINK TO PRINT PUBLICATION LITERACY RE BREREWOOD THE GLOVER].  Gloves were given as gifts, presented as symbols of honorary positions or offices, and bought as fashion items.  They mark out a female wearer as a woman with leisure time and the ability to avoid working with hands, while male wearers are distinguished by what might be seen as an “embellishment object”—clothing that was not simply practical but was worn for show.  PORTRAIT E.G.?
",?,
Education,Assets,Furniture,Assets 7_hornbook,SBT 1993-31/652: hornbook,Education; reading; writing; learning; prayer; displays of piety; protestantism; joining/carving; childhood; woodwork; print; home,https://www.shakespeare.org.uk/explore-shakespeare/blogs/shakespeare-100-objects-hornbook/,"This hornbook represents an alternative concept of “asset”—that of education. Young children could be brought up in textual literacy from an early age using such an item, which taught them letters.  Such hornbooks are not only reserved for young and privileged men, but represent a household object that could help teach daughters or even servants and apprentices [LINK to LITERACY ACCT BOOK], especially in a household where literacy was experienced and absorbed collectively. Education in its various forms, in this case textual and literary, was a considerable asset, allowing individuals to work with words and numbers in a variety of professions, from painting or furniture-making (helped by the apprenticeship systems) to bookkeeping (a household as well as an occupational skill) to professional work in the medicine or the law (where it would have been supported by formal educational structures like the grammar school or university).  Such a hornbook also represents a middling asset in another sense: it indicates an educational investment in one’s children, furnishing them with textual skills for the future that will help them support a parent in older age or that can help ensure the “legacy” of the parents, suring up newly-achieved wealth and status or promising future advancement. Often, educational skills are an invisible asset—especially where they sit outside of formal school or university records or where individuals leave behind no written documents proving their literacy—but through items like hornbooks and through the skills made possible by such learning [LINK TO LITERACY BOARD ITEMS] the worth and significance of the many forms of learning available to middling children are abundantly clear.
",SBT,
Sword,Assets,Weapons,Assets 8_sword,Bristol Museum?,weapon; civic; virtue; administration; metalwork; office-holding; quality of workmanship,,"This sword is one of the city of Bristol’s long-held ceremonial swords, dating from the late 14th century, and it would have been entrusted to the honorary position of “swordbearer.” The swordbearer would have been a middling individual, not of especially wealthy or influential background but respectable enough to hold this minor position in civic government, with the small monetary reward and substantial prestige with which it was accompanied.  The sword therefore represents the asset of “office”: a term used in the period to represent a formal position or role of one kind or another—here, a symbolic role at the heart of local government that brought its holder into close physical and social contact with the distinguished mayor of the city (especially during ceremonial occasions like pageants or mayor days).  Such offices also often gave the holder “livery”—recognisable clothing marking out their formal status. Similar positions conferred on their holders other items—maces for macebearers—whether held at home or kept safely in city property.  Less elaborately decorated swords were also part of the middling experience among those who did not hold such a position.  The sword was an especially symbolic item. Wearing one was supposed to represent “gentleman” status—a term reserved for noble men.  Yet increasingly in the period upper middling and middling men brandished them, prompting legislation to restrict their use, size, and appearance. They are sometimes synonymous with a martial masculinity in this period, though subversions or appropriations of this association find their way into national conversation--the real-life Moll Frith, or Moll Cutpurse, also dramatised in Middleton and Dekker’s The Roaring Girl, proudly wielded a sword in contravention of “sumptuary legislation” that prohibited it.  The sword’s symbolic importance extends to visual imagery [LINK TO LITERACY VISUAL], where ittypically represents justice.  At the same time, inevitably, they contain the threat of violence—something contentious in a period in which “duelling” (physical combat, typically between two men, over questions of honour) was broadly phased out and eventually outlawed completely in the seventeenth century.  Yet swords and smaller daggers were still the violent end of various middling figures from the period, as the “duel” or the violent scuffle was by no means confined to lords or knights. After all, playwright and poet Christopher Marlowe was killed over an argument about a restaurant bill with a small sword or dagger. 

Officeholding as asset, with material connections (here sword, mention also livery). Connections via sword with other “middling” assets like armour and arms, which displayed (show inventories, and NUMBER CRUNCHING?), but also musters and seniority…
",??,
Napery,Assets,Furniture,Assets 9_napery,Weald and Downland Museum,decoration; quality of workmanship; acquiring; owning; marriage; textiles; home,Callan's Image,"Middling individuals are frequently marked out by possessing a large amount of linen or napery: bedsheets, tablecloths, napkins, and other cloth goods.  NUMBER CRUNCHING.  Having lots of bedsheets also tells us about the nature of the middling household: these were spaces not only home to the family and to servants but that frequently hosted friends, guests, and business acquaintances.  Hospitality was central to middling experience, with their households making practical accommodation of others for business purposes or to demonstrate the ability to wine and dine others—a mark of wealth and generosity that had attendant positive consequences for reputation and credit, proving one’s ability to entertain.
",Project partner and image taken by callan,
Reigate Wall Paintings,Assets,Painting,Assets 10_reigate,Weald and Downland Museum,wall paining; narrative; decoration; self-fashioning; creating; drawing; Reigate; home ,,,,
